index,actual,predicted,diff,text
0,8.7,8.611,-0.08899999999999864,sangfor behavior management system also referred dc management system chinese language documentation contains xml external entity xxe injection vulnerability src sangforindex endpoint remote unauthent...
1,10.0,8.866999999999997,-1.1330000000000027,qianxin tianqing management center versions up including contain path traversal vulnerability rptsvr component allows unauthenticated attackers upload files arbitrary locations server rptsvr upload en...
2,6.5,7.018999999999998,0.5189999999999984,sql injection vulnerability empirecms v7 allows remote attackers execute arbitrary code obtain sensitive information via doexecsql function
3,6.5,6.368,-0.13199999999999967,attacker wifi vicinity target google home can spy victim resulting elevation privilege
4,8.8,7.545999999999998,-1.2540000000000031,heap based buffer overflow vulnerability netsupport manager versions allows remote unauthenticated attacker cause denial service dos potentially result arbitrary code execution
5,6.9,6.59,-0.3100000000000005,pcre2 library set functions implement regular expression pattern matching heap buffer overflow read vulnerability exists pcre2 regular expression matching engine specifically within handling scs scan ...
6,6.5,6.483,-0.017000000000000348,travel website v1 vulnerable multiple unauthenticated sql injection vulnerabilities hotelidhidden parameter generatereceipt php resource does not validate characters received they sent unfiltered data...
7,7.1,5.573285714285716,-1.5267142857142835,null pointer dereference vulnerability has been reported affect file station if remote attacker gains user account they can then exploit vulnerability launch denial service dos attack we have already ...
8,6.5,6.46,-0.040000000000000036,scalefusion does not properly limit users edge application because search can made tooltip note vendor position not vulnerable if default windows device profile configuration used utilizes modern mana...
9,6.5,6.229999999999999,-0.27000000000000135,memory corruption when ipv6 prefix timer object lifetime expires created while netmgr daemon gets ipv6 address
10,6.5,6.4639999999999995,-0.036000000000000476,vulnerability found totolink n200re 5u b20201216 has been declared critical affected vulnerability function settraceroutecfg file cgi bin cstecgi cgi manipulation argument command leads os command inj...
11,6.5,6.5,0.0,rejected reason not used
12,6.5,6.459,-0.04100000000000037,vulnerability classified critical has been found phpgurukul hospital management system affected unknown function file admin contact php manipulation argument mobnum leads sql injection exploit has bee...
13,6.5,6.6530000000000005,0.15300000000000047,microsoft common log file system elevation privilege vulnerability
14,6.5,6.5,0.0,multiple integer overflow vulnerabilities exist fst fstreaderiterblocks2 chain table allocation functionality gtkwave specially crafted fst file can lead arbitrary code execution victim would need ope...
15,6.3,6.460999999999998,0.1609999999999978,flaw has been found portabilis educar up impacts unknown function file regraavaliacao view executing manipulation argument id can lead sql injection possible launch attack remotely exploit has been pu...
16,6.5,6.480000000000001,-0.019999999999998685,cross site scripting vulnerability elite crm v1 allows attacker execute arbitrary code via language parameter ngs login endpoint
17,7.3,7.281999999999993,-0.0180000000000069,security flaw has been discovered campcodes online learning management system vulnerability affects unknown code file admin login php manipulation argument username results sql injection possible laun...
18,6.5,6.577000000000001,0.07700000000000085,link dir v1 contains login bypass hnap1 interface allows attackers log administrator accounts empty passwords
19,6.5,6.079999999999993,-0.42000000000000703,improper neutralization input during web page generation cross site scripting vulnerability mibuthu link view allows stored xss issue affects link view through
20,8.4,7.041,-1.359,ibm transformation advisor through incorrectly assigns privileges security critical files could allow local root escalation inside container running ibm transformation advisor operator catalog image
21,3.5,3.4690000000000003,-0.030999999999999694,security flaw has been discovered o2oa up vulnerability affects unknown code file organization assemble personal jaxrs definition calendarconfig manipulation argument tomonthviewname results cross sit...
22,6.4,5.100999999999993,-1.2990000000000075,server side request forgery ssrf vulnerability chartbeat chartbeat allows server side request forgery issue affects chartbeat through
23,6.1,6.295000000000003,0.19500000000000295,cross site scripting vulnerability helpy io allows remote attacker escalate privileges via new topic ticket funtion
24,7.8,7.2259999999999955,-0.5740000000000043,nvidia nemo framework all platforms contains vulnerability retrieval services component where malicious data created attacker could cause code injection successful exploit vulnerability might lead cod...
